address,size,kind,name,source,status
0x0042cd10,,function,IRO_Optimizer,binary and mwcc-inspector GC/1.2.5 breakpoint,confirmed
0x004351c0,,function,CodeGen_Generator,binary control flow and external naming reference,confirmed
0x0048f180,,function,Type_IsUnsigned,canonical unsigned-type checks and load-opcode selection,inferred
0x004a0550,,function,Operands_ForceFPR,Operands.c xref and exact operand-kind control flow,inferred
0x004a0680,,function,Operands_ForceGPRPair,paired-register materialization before the scalar GPR path,inferred
0x004a0ba0,,function,Operands_ForceGPR,Operands.c xref and exact operand-kind control flow,inferred
0x004a0fc0,,function,Operands_Normalize,Operands.c xref and shared operand normalization role,inferred
0x004a2060,,function,PCodeUtilities_EmitAddress,address materialization with PCodeUtilities.c xref,inferred
0x004a9fa0,,function,StackFrameEABI_004a9fa0,StackFrameEABI.c xref,inferred
0x004aaa40,,function,StackFrameEABI_GetTypeAlignment,recursive type walk returns the alignment consumed by 0x004ac4a0,inferred
0x004aba30,,function,StackFrameEABI_MergePrologueEpilogue,source xref and CodeGen trace boundary,inferred
0x004abe90,,function,StackFrameEABI_GeneratePrologueEpilogue,source xref and CodeGen trace boundary,inferred
0x004ac240,,function,StackFrameEABI_FinalizeLayout,assembles the exact frame size from local outgoing save and padding bands,inferred
0x004ac4a0,,function,StackFrameEABI_AllocateObjectSlot,aligns the local-object cursor writes CompilerObject +0x2a and advances by type size,confirmed
0x004beda0,,function,COptimizer_CountExpressionObjectUses,COptimizer.c expression walk to compiler-object register metadata,inferred
0x004beef0,,function,COptimizer_RecordObjectUse,COptimizer.c shared compiler-object weight update,inferred
0x004c1720,,function,Registers_GetInfo,Registers.c xref and allocation control flow,confirmed
0x004c17c0,,function,Registers_CloseCoalesceWindow,counter and coalescing-bound synchronization,confirmed
0x004c1850,,function,Registers_UpdateCoalesceWindow,counter high-water and rollover control flow,confirmed
0x004c1900,,function,Registers_CheckpointCoalesceWindow,counter-to-bound and checkpoint assignments,confirmed
0x004c1950,,function,Registers_SnapshotInitialObjectRange,first object-preallocation pass counter boundary,confirmed
0x004c1980,,function,Registers_BeginCoalesceWindow,counter-to-first-and-last assignments,confirmed
0x004c1b40,,function,Registers_BindVR,physical VR use tracking and object binding,inferred
